cyoE	b0428	E100000420
cysA	b2422	E100002373
cysB	b1275	E100001246
cysC	b2750	E100002690
cysD	b2752	E100002692
cysE	b3607	E100003529
cysG	b3368	E100003291
cysH	b2762	E100002702
cysI	b2763	E100002703
cysJ	b2764	E100002704
cysK	b2414	E100002365
cysM	b2421	E100002372
cysN	b2751	E100002691
cysP	b2425	E100002376
cysQ	b4214	E100004102
cysS	b0526	E100000517
cysU	b2424	E100002375
cysW	b2423	E100002374
cysZ	b2413	E100002364
cytR	b3934	E100003838
dacA	b0632	E100000622
dacB	b3182	E100003112
dacC	b0839	E100000815
dacD	b2010	E100001969
dadA	b1189	E100001162
dadX	b1190	E100001163
dam	b3387	E100003310
damX	b3388	E100003311
dapA	b2478	E100002429
dapB	b0031	E100000031
dapD	b0166	E100000166
dapE	b2472	E100002423
dapF	b3809	E100003719
dbpA	b1343	E100001314
dcd	b2065	E100002024
dcm	b1961	E100001925
dcp	b1538	E100001509
dctA	b3528	E100003451
dcuA	b4138	E100004029
dcuB	b4123	E100004015
dcuC	b0621	E100000611
ddg	b2378	E100002335
ddlA	b0381	E100000373
ddlB	b0092	E100000092
deaD	b3162	E100003094
dedA	b2317	E100002275
dedD	b2314	E100002272
def	b3287	E100003210
degQ	b3234	E100003164
degS	b3235	E100003165
deoA	b4382	E100004266
deoB	b4383	E100004267
deoC	b4381	E100004265
deoD	b4384	E100004268
deoR	b0840	E100000816
dfp	b3639	E100003561
dgkA	b4042	E100003934
dgoA	b3692	E100003613
dgoK	b3693	E100003614
dgoT	b3691	E100003612
dgt	b0160	E100000160
dicA	b1570	E100001541
dicB	b1575	E100001545
dicC	b1569	E100001540
dinD	b3645	E100003567
dinF	b4044	E100003936
dinG	b0799	E100000775
dinI	b1061	E100001034
dinJ	b0226	E100000219
dinP	b0231	E100000224
div	b2321	E100002279
dksA	b0145	E100000145
dld	b2133	E100002092
dmsA	b0894	E100000869
dmsB	b0895	E100000870
dmsC	b0896	E100000871
dnaA	b3702	E100003623
dnaB	b4052	E100003944
dnaC	b4361	E100004248
dnaE	b0184	E100000184
dnaG	b3066	E100003000
dnaJ	b0015	E100000015
dnaK	b0014	E100000014
dnaN	b3701	E100003622
dnaQ	b0215	E100000209
dnaT	b4362	E100004249
dnaX	b0470	E100000461
dniR	b0211	E100000205
dppA	b3544	E100003467
dppB	b3543	E100003466
dppC	b3542	E100003465
dppD	b3541	E100003464
dppF	b3540	E100003463
dps	b0812	E100000788
dsbA	b3860	E100003765
dsbB	b1185	E100001158
dsbC	b2893	E100002829
dsbD	b4136	E100004027
dsbE	b2195	E100002153
dsbG	b0604	E100000594
dsdA	b2366	E100002323
dsdC	b2364	E100002321
dsdX	b2365	E100002322
dsrB	b1952	E100001917
dut	b3640	E100003562
dxs	b0420	E100000412
eaeH	b0297	E100000289
ebgA	b3076	E100003009
ebgC	b3077	E100003010
ebgR	b3075	E100003008
eco	b2209	E100002167
ecpD	b0140	E100000140
eda	b1850	E100001818
edd	b1851	E100001819
efp	b4147	E100004038
elaA	b2267	E100002225
elaB	b2266	E100002224
elaC	b2268	E100002226
elaD	b2269	E100002227
emrA	b2685	E100002630
emrB	b2686	E100002631
emrD	b3673	E100003594
emrE	b0543	E100000533
emrK	b2368	E100002325
emrR	b2684	E100002629
emrY	b2367	E100002324
endA	b2945	E100002880
eno	b2779	E100002719
entA	b0596	E100000586
entB	b0595	E100000585
entC	b0593	E100000583
entD	b0583	E100000573
entE	b0594	E100000584
entF	b0586	E100000576
envR	b3264	E100003194
envY	b0566	E100000556
envZ	b3404	E100003327
epd	b2927	E100002862
era	b2566	E100002517
erfK	b1990	E100001949
eutB	b2441	E100002392
eutC	b2440	E100002391
